service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,ObjectId
1,20260329,20260530,1,1,1,1,1,0,0,1
2,20260329,20260530,0,0,0,0,0,1,0,2
3,20260329,20260530,0,0,0,0,0,0,1,3
1201,20260329,20260530,0,0,0,0,0,0,0,4
12801,20260329,20260530,0,0,0,0,0,0,0,5
11903,20260329,20260530,0,0,0,0,0,0,0,6
