stop_lat,wheelchair_boarding,stop_code,stop_lon,stop_timezone,stop_url,parent_station,stop_desc,stop_name,location_type,stop_id,zone_id,ObjectId
52.094762,1,3883,-106.64147,,,,,Wilson / Cairns,,3883,,434
52.107694,1,3884,-106.670347,,,,,Lorne / Taylor,,3884,,435
52.100939,1,3885,-106.67033,,,,,Lorne / Ruth,,3885,,436
52.105482,1,3886,-106.670308,,,,,Lorne / Isabella,,3886,,437
52.103851,1,3888,-106.670325,,,,,Lorne / Hilliard,,3888,,438
52.102176,1,3889,-106.670344,,,,,Lorne / Adelaide,,3889,,439
52.114034,0,3890,-106.670599,,,,,Lorne / 8th Street,,3890,,440
52.113861,0,3891,-106.670365,,,,,Lorne / 7th Street,,3891,,441
52.112502,0,3893,-106.670588,,,,,Lorne / 6th Street,,3893,,442
52.111254,1,3895,-106.670348,,,,,Lorne / 4th Street,,3895,,443
52.110777,0,3896,-106.670496,,,,,Lorne / 4th Street,,3896,,444
52.108978,0,3897,-106.670498,,,,,Lorne / 2nd Street,,3897,,445
52.109392,1,3898,-106.670351,,,,,Lorne / 2nd Street,,3898,,446
52.168249,1,3900,-106.575778,,,,,Evergreen / Wyant,,3900,,447
52.170604,1,3901,-106.573167,,,,,Evergreen / Salloum,,3901,,448
52.17062,1,3902,-106.566657,,,,,Evergreen / Kloppenburg,,3902,,449
52.176896,1,3903,-106.612856,,,,,Lenore / Silverwood,,3903,,450
52.133437,1,3661,-106.698455,,,,,Rusholme / Avenue R,,3661,,451
52.133309,0,3662,-106.697216,,,,,Rusholme / Avenue R,,3662,,452
52.133282,0,3663,-106.693444,,,,,Rusholme / Avenue P,,3663,,453
52.133449,1,3664,-106.694466,,,,,Rusholme / Avenue P,,3664,,454
52.133311,1,3665,-106.688341,,,,,Rusholme / Avenue M,,3665,,455
52.133458,1,3666,-106.690017,,,,,Rusholme / E D Feehan,,3666,,456
52.133309,1,3669,-106.684873,,,,,Rusholme / Avenue J,,3669,,457
52.184259,1,3671,-106.63082,,,,,Rowles / Russell,,3671,,458
52.147964,0,3683,-106.663477,,,,,Quebec / 36th Street,,3683,,459
52.148282,1,3685,-106.699206,,,,,Richardson / Cole,,3685,,460
52.09306,1,3686,-106.583416,,,,,Kingsmere / Brightsand Way,,3686,,461
52.10031,0,3688,-106.657596,,,,,Ruth  / Broadway Avenue,,3688,,462
52.150242,1,3689,-106.696933,,,,,Richardson / 37th Street,,3689,,463
52.146949,1,3690,-106.705374,,,,,Richardson / Avenue W,,3690,,464
52.146956,1,3691,-106.703001,,,,,Richardson / Hnatyshyn,,3691,,465
52.147843,1,3692,-106.699693,,,,,Richardson / Davidson,,3692,,466
52.155154,0,3694,-106.592851,,,,,Rever / Konihowski,,3694,,467
52.152294,1,3695,-106.592885,,,,,Rever / Haslam,,3695,,468
52.152795,1,3696,-106.592607,,,,,Rever / Fairbrother,,3696,,469
52.152903,0,3697,-106.6635,,,,,Quebec / 39th Street,,3697,,470
52.168448,0,3700,-106.621536,,,,,Reindeer / Pinehouse,,3700,,471
52.1702,1,3706,-106.617288,,,,,Redberry / Wathaman,,3706,,472
52.121995,1,3707,-106.721765,,,,,Fairmont / Clancy,,3707,,473
52.171421,0,3708,-106.61385,,,,,Redberry / Tobin,,3708,,474
52.170461,1,3709,-106.620629,,,,,Redberry / Reindeer,,3709,,475
52.196463,0,3710,-106.64376,,,,,66th Street / Mitchelmore,,3710,,476
52.173803,1,3713,-106.614437,,,,,Redberry / Candle,,3713,,477
52.085775,1,3714,-106.612456,,,,,Hunter / Hartley,,3714,,478
52.086159,0,3715,-106.615678,,,,,Hunter / Rempel,,3715,,479
52.085644,0,3716,-106.621031,,,,,Hunter / Preston,,3716,,480
52.162253,1,3717,-106.635792,,,,,Assiniboine / Red River,,3717,,481
52.085644,0,3719,-106.624352,,,,,Stonebridge Mall,,3719,,482
52.136538,1,3721,-106.65258,,,,,Queen / 7th Avenue,,3721,,483
52.136699,1,3722,-106.652682,,,,,Queen / 7th,,3722,,484
52.136538,1,3723,-106.654768,,,,,Queen / 5th Avenue,,3723,,485
52.136565,1,3725,-106.656377,,,,,Queen / 4th Avenue,,3725,,486
52.136542,1,3727,-106.657782,,,,,Queen / 3rd Avenue,,3727,,487
52.157594,0,3728,-106.663502,,,,,Quebec / Circle,,3728,,488
52.156118,1,3729,-106.663496,,,,,Quebec / 41st Street,,3729,,489
52.17009,1,3730,-106.63398,,,,,Primrose / Pinehouse Drive,0,3730,,490
52.169488,1,3731,-106.634679,,,,,Primrose / Pinehouse,0,3731,,491
52.168054,1,3732,-106.635814,,,,,Primrose / Ravine,,3732,,492
52.16879,1,3733,-106.634839,,,,,Primrose / Civic Center,,3733,,493
52.172675,1,3734,-106.63285,,,,,Primrose / Lenore,,3734,,494
52.167474,1,3735,-106.64277,,,,,Primrose / Coppermine,,3735,,495
52.167263,1,3736,-106.638196,,,,,Primrose / Coppermine East,,3736,,496
52.167249,0,3737,-106.641932,,,,,Primrose / 105 Primrose,,3737,,497
52.13427,1,3739,-106.623,,,,,Preston / 108th Street,,3739,,498
52.107079,1,3740,-106.622486,,,,,Preston / Walter Murray,,3740,,499
52.100729,1,3743,-106.622514,,,,,Preston Avenue / Louise,,3743,,500
52.176634,1,3904,-106.615467,,,,,Lenore / Redberry,,3904,,501
52.133306,1,3907,-106.723782,,,,,Laurier / Confederation,,3907,,502
52.133203,1,3908,-106.725568,,,,,Laurier Drive / Confederation,,3908,,503
52.119435,0,3909,-106.57174,,,,,Laurentian / Brock,,3909,,504
52.117308,0,3910,-106.570107,,,,,Laurentian / Guelph,,3910,,505
52.116363,1,3911,-106.574302,,,,,Laurentian / Boychuk,,3911,,506
52.146562,0,3912,-106.738903,,,,,Latrace / Wedge,,3912,,507
52.148008,0,3913,-106.738915,,,,,Latrace / Murray,,3913,,508
52.168472,1,3925,-106.627439,,,,,La Ronge / Pinehouse,,3925,,509
52.166368,1,3926,-106.623044,,,,,La Ronge / Nahanni,,3926,,510
52.166937,1,3927,-106.626556,,,,,La Ronge Road / Bethany,,3927,,511
52.167399,1,3928,-106.626839,,,,,La Ronge / Bethany Manor,,3928,,512
52.155475,0,3929,-106.593381,,,,,Konihowski / Rever,,3929,,513
52.091527,1,3931,-106.578175,,,,,Kingsmere / Bronson,,3931,,514
52.091485,1,3932,-106.574316,,,,,Kingsmere / Brightwater,,3932,,515
52.091975,1,3933,-106.581786,,,,,Kingsmere / Brightsand Ln,0,3933,,516
52.092995,1,3934,-106.591012,,,,,Kingsmere / Wollaston,,3934,,517
52.138625,1,3935,-106.704566,,,,,30th Street / Avenue V,,3935,,518
52.099821,1,3936,-106.599023,,,,,Kingsmere / Stillwater,,3936,,519
52.094447,1,3937,-106.599013,,,,,Kingsmere / Delaronde,,3937,,520
52.092991,1,3938,-106.596416,,,,,Kingsmere / Delaronde,,3938,,521
52.096864,1,3939,-106.599028,,,,,Kingsmere / Crean,,3939,,522
52.142234,1,3946,-106.729541,,,,,miyo-wahkohtowin / Cartier,,3946,,523
52.142057,1,3947,-106.726713,,,,,miyo-wahkohtowin / Confederation,,3947,,524
52.141648,1,3948,-106.726384,,,,,Confederation / miyo-wahkohtowin,0,3948,,525
52.142227,1,3951,-106.737807,,,,,miyo-wahkohtowin / Dominion,,3951,,526
52.142203,1,3952,-106.743423,,,,,miyo-wahkohtowin / McCully,,3952,,527
52.14219,1,3955,-106.733808,,,,,miyo-wahkohtowin / Tilley,,3955,,528
52.138633,1,3957,-106.701387,,,,,30th Street / Avenue T,,3957,,529
52.141414,1,3960,-106.565761,,,,,Kenderdine / Cowley,,3960,,530
52.143712,1,3963,-106.570627,,,,,Kenderdine / Bonli,,3963,,531
52.113208,1,3967,-106.6968,,,,,Dudley / Avenue R,,3967,,532
52.129137,1,3968,-106.688227,,,,,22nd Street / Avenue M,,3968,,533
52.115989,1,3969,-106.656613,,,,,Broadway / 9th Street,,3969,,534
52.10016,0,3970,-106.62393,,,,,Louise / Woodward,,3970,,535
52.083033,1,3972,-106.627663,,,,,Gordon / Martin,,3972,,536
52.118662,0,3973,-106.708909,,,,,Appleby / Dundurn,,3973,,537
52.114847,1,3975,-106.589686,,,,,8th Street / Sobey's,,3975,,538
52.107263,0,3976,-106.646064,,,,,Taylor / Clarence,,3976,,539
52.098243,1,3580,-106.58452,,,,,Stillwater / Weyakwin,,3580,,540
52.08288,1,3977,-106.625444,,,,,Gordon / Stonebridge Common,,3977,,541
52.135088,1,3978,-106.659087,,,,,3rd Avenue / 26th Street,,3978,,542
52.114236,1,3979,-106.635163,,,,,Cumberland / 7th Street,,3979,,543
52.098981,1,3582,-106.588161,,,,,Stillwater / Kenosee,,3582,,544
52.103018,1,3744,-106.622535,,,,,Preston / Adelaide,,3744,,545
52.107246,1,3983,-106.669569,,,,,Taylor Street / Lorne,,3983,,546
52.138987,1,3583,-106.749577,,,,,Steeves / Whelan,,3583,,547
52.108384,0,3745,-106.739847,,,,,Dieppe / Simonds,,3745,,548
52.086832,0,3984,-106.659786,,,,,Melville / Portage,,3984,,549
52.162278,1,3985,-106.638295,,,,,Assiniboine / Athabasca,,3985,,550
52.100147,0,3986,-106.665363,,,,,Ruth / Melrose,,3986,,551
52.138285,0,3990,-106.631841,,,,,Canadian Light Source,,3990,,552
52.138316,0,3991,-106.631328,,,,,Canadian Light Source OB,,3991,,553
52.148997,1,3992,-106.617238,,,,,Preston / Preston Crossing,,3992,,554
52.14869,1,3993,-106.619764,,,,,Preston Crossing,,3993,,555
52.14195,1,3585,-106.749576,,,,,Steeves / miyo-wahkohtowin,0,3585,,556
52.09734,1,3588,-106.609944,,,,,Arlington / East Drive,,3588,,557
52.105221,1,3590,-106.610095,,,,,Taylor / Arlington,,3590,,558
52.181066,1,3591,-106.619553,,,,,Silverwood / Whiteswan,,3591,,559
52.178491,1,3593,-106.613406,,,,,Silverwood / O'Brien,,3593,,560
52.184126,1,3594,-106.619517,,,,,Silverwood / Molloy,,3594,,561
52.177198,1,3596,-106.611976,,,,,Silverwood / Lenore,,3596,,562
52.179213,1,3597,-106.617638,,,,,Silverwood / JJ Thissen,,3597,,563
52.179562,1,3598,-106.618254,,,,,Silverwood / Chan,,3598,,564
